BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
52,237,200,18446070913217830912,fffd9bc39c03a000,18446743555841640677,ffffff876caac8e5,50,18446587408902016409,ffff7183a1cc4d99,237,18446071579177809309,fffd9c5eaa52759d,5982638,99710.633
53,201,200,18446117414479413248,fffdc60e87314000,18446732900553013033,fffff5d68bf93729,50,18446594573601887628,ffff7807cb30558c,201,18446118453423214880,fffdc7006d119120,5989104,99818.400
54,200,200,18446146073278898176,fffde01f2cc16000,18446734102842680338,fffff6ee7a05a412,50,18446607654038715056,ffff83ed51fabab0,200,18446152141663173761,fffde5a414a4fc81,5987944,99799.067
55,193,200,18446198395026202624,fffe0fb547eae000,18446742725866303660,fffffec62e4830ac,50,18446599534834905665,ffff7c8aebb87241,193,18446198940719052268,fffe103455bef5ec,5985938,99765.633
56,183,200,18446165918210965504,fffdf22baee1c000,18446742511489078769,fffffe94446755f1,50,18446577022861186737,ffff6811718616b1,183,18446166909030303662,fffdf312605107ae,5992421,99873.683
57,209,200,18446075870316093440,fffda045c6186000,18446739100150377646,fffffb7a00c5acae,50,18446565238538489348,ffff5d59b127ce04,209,18446077146698830406,fffda16ef46f5246,5992234,99870.567
58,219,200,18446028733025304576,fffd7566c49f4000,18446742708289522752,fffffec2169fcc40,50,18446602722543783730,ffff7f711df9cf32,219,18446029605953353106,fffd763203303592,5992318,99871.967
59,194,200,18446178669046480896,fffdfdc477e74000,18446742637859902025,fffffeb1b0b11249,50,18446587556035665210,ffff71a5e3a59d3a,194,18446179534262569234,fffdfe8deacd0912,5991979,99866.317
60,211,200,18446118003014008832,fffdc6978e968000,18446743588025798026,ffffff8eeafe0d8a,50,18446592593616979247,ffff763acae4452f,211,18446120828159476898,fffdc929566144a2,5985923,99765.383
61,178,200,18446138153339265024,fffdd8eb2b912000,18446740837376428032,fffffd0e7b838800,50,18446578662413634320,ffff698f2e770b10,178,18446139259249211555,fffdd9eca8efb8a3,5981882,99698.033
62,205,200,18446082428525879296,fffda63cb9dc2000,18446740821520349985,fffffd0aca6afb21,50,18446614942601493168,ffff8a8e522cbab0,205,18446093084579036664,fffdafedc81f7df8,5988976,99816.267
63,182,200,18446227549277315072,fffe2a3948b2e000,18446743356439759545,ffffff58ff638ab9,50,18446576185039464979,ffff674e5f752a13,182,18446227622296511415,fffe2a4a48fb63b7,5987391,99789.850
64,215,200,18446072519029202944,fffd9d397dd4a000,18446743257828235977,ffffff4209af1ac9,50,18446570874934934581,ffff627a04903c35,215,18446073099854727278,fffd9dc0b9bac86e,5977380,99623.000
65,220,200,18446051278611087360,fffd89e812410000,18446740051461657931,fffffc577f57d54b,50,18446603033389697151,ffff7fb97dd6087f,220,18446054864396728625,fffd8d2af3bbb931,5987749,99795.817
