BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
13,130,150,18443709955738759168,fff5387c5c24f000,18446740558321652197,fffffccd828d91e5,50,18445524280345132861,fffbaa9ab9d07f3d,130,18443762974575892802,fff568b4c5191942,809934,161986.800
14,169,150,18443084693616295936,fff2ffd02d718000,18446653205948030912,ffffad5b335a5fc0,50,18445604345764849335,fffbf36c68b726b7,169,18443114679120527715,fff31b15b8c58163,904189,180837.800
15,139,150,18443324889875445760,fff3da453a257800,18446732513595877042,fffff57c7387e6b2,50,18445549493000423915,fffbc189012d49eb,139,18443341620067951682,fff3e97c8753e442,780075,156015.000
16,130,150,18443160331582167040,fff3449b0387d800,18446741755773180227,fffffde45039d943,50,18445357286275378669,fffb12b9639b6ded,130,18443231645097098875,fff38576fc417e7b,783555,156711.000
17,222,150,18442583711407034368,fff1382c2ad25000,18446727010653426936,fffff07b3299d4f8,50,18445949080339225722,fffd2cf52e901c7a,222,18442586655921050682,fff13ad9bd88943a,1010031,202006.200
18,95,150,18444359093598576640,fff786df8bb06000,18446712803507375898,ffffe38f56b50f1a,50,18445523974799776338,fffbaa5395e45a52,95,18444369224788310458,fff7901665a779ba,712704,142540.800
19,150,150,18443083776980224000,fff2fefac1ad0800,18446678908424894001,ffffc4bb865b3631,50,18445590586253094815,fffbe6e8c5e7af9f,150,18443096416484732165,fff30a799eda2d05,701909,140381.800
20,159,150,18443283611340181504,fff3b4ba51b71000,18446726285270204268,ffffefd24e643f6c,50,18445846544030195472,fffccfb396495f10,159,18443297553754223285,fff3c1688a59f2b5,844639,168927.800
21,138,150,18444051484671483904,fff66f1ac2dc2000,18446714950238061407,ffffe58329d3c35f,50,18445885221085596087,fffcf2e0ca6f49b7,138,18444051943717774518,fff66f85a426a4b6,948485,189697.000
22,172,150,18444167515837683712,fff6d8a25f4dd800,18446739167306408710,fffffb89a3956306,50,18445939642863495139,fffd245fd92ca7e3,172,18444186387314620091,fff6e9cc3afbb6bb,1091148,218229.600
23,89,150,18444330781171382272,fff76d1f8b85f800,18446736519541847061,fffff92128847415,50,18445246579610186960,fffaae097c2774d0,89,18444335742607508941,fff771a2b82945cd,779680,155936.000
24,185,150,18442251591411460096,fff00a1c74766800,18446615004423590256,ffff8a9cb70f1170,50,18445443660378994149,fffb6147ed5ef5e5,185,18442274930103976040,fff01f566af08068,793598,158719.600
25,236,150,18442842833717880832,fff223d7c81ce800,18446734003883497443,fffff6d76f9857e3,50,18445887597303627685,fffcf50a0c10ffa5,236,18442850191140142748,fff22a88d0a73e9c,1033116,206623.200
26,103,150,18444174644491780096,fff6df1e24330000,18446739637759829206,fffffbf72ccae4d6,50,18445434579139605673,fffb59058952b4a9,103,18444251684508420752,fff7252f6b064a90,700529,140105.800
27,242,150,18442815589999716352,fff20b109bf82800,18446730101729917909,fffff34ae51dfbd5,50,18445815643387454040,fffcb398f873e258,242,18442821388455561531,fff21056aadec93b,1071299,214259.800
28,168,150,18443958782743257088,fff61acae95ba000,18446725461153128120,ffffef126d2f9eb8,50,18445828570115319070,fffcbf5ab579a51e,168,18443997438100395304,fff63df310305528,1013074,202614.800
29,144,150,18443997562926856192,fff63e10206cf800,18446743805787384035,ffffffc19e9828e3,50,18445823775679499746,fffcbafe6ad4cde2,144,18444039208505564707,fff663f07e59de23,929012,185802.400
30,96,150,18443983179619397632,fff630fb407e7000,18446738013711610007,fffffa7d0bf9b097,50,18445504029184728324,fffb982fa2979d04,96,18444018630467332672,fff651394bb12a40,523003,104600.600
